name,summary,last_release,status,requires,status.1,snyk,pip,libhunt
logassert,Simple but powerful assertion and verification of logged lines.,2022-05-20,5 - Production/Stable,,,https://snyk.io/advisor/python/logassert,https://pypi.org/project/logassert,
logot,Test whether your code is logging correctly 🪵,2024-03-23,5 - Production/Stable,"pytest<9,>=7; extra == “pytest”",,https://snyk.io/advisor/python/logot,https://pypi.org/project/logot,https://www.libhunt.com/r/logassert
nuts,Network Unit Testing System,2024-05-28,,"pytest<8,>=7",,https://snyk.io/advisor/python/nuts,https://pypi.org/project/nuts,https://www.libhunt.com/r/logot
pytest-abq,Pytest integration for the ABQ universal test runner.,2023-04-07,,,,https://snyk.io/advisor/python/pytest-abq,https://pypi.org/project/pytest-abq,
pytest-abstracts,A contextmanager pytest fixture for handling multiple mock abstracts,2022-05-25,,,,https://snyk.io/advisor/python/pytest-abstracts,https://pypi.org/project/pytest-abstracts,
pytest-accept,A pytest-plugin for updating doctest outputs,2024-02-10,,pytest (>=6),,https://snyk.io/advisor/python/pytest-accept,https://pypi.org/project/pytest-accept,https://www.libhunt.com/r/pytest-abstracts
pytest-adaptavist,pytest plugin for generating test execution results within Jira Test Management (tm4j),2022-10-13,,pytest (>=5.4.0),,https://snyk.io/advisor/python/pytest-adaptavist,https://pypi.org/project/pytest-adaptavist,
pytest-adaptavist-fixed,pytest plugin for generating test execution results within Jira Test Management (tm4j),2023-11-08,,pytest >=5.4.0,,https://snyk.io/advisor/python/pytest-adaptavist-fixed,https://pypi.org/project/pytest-adaptavist-fixed,
pytest-addons-test,用于测试pytest的插件,2021-08-02,,"pytest (>=6.2.4,<7.0.0)",,https://snyk.io/advisor/python/pytest-addons-test,https://pypi.org/project/pytest-addons-test,
pytest-adf,Pytest plugin for writing Azure Data Factory integration tests,2021-05-10,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-adf,https://pypi.org/project/pytest-adf,
pytest-adf-azure-identity,Pytest plugin for writing Azure Data Factory integration tests,2021-03-06,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-adf-azure-identity,https://pypi.org/project/pytest-adf-azure-identity,
pytest-ads-testplan,Azure DevOps Test Case reporting for pytest tests,2022-09-15,,,,https://snyk.io/advisor/python/pytest-ads-testplan,https://pypi.org/project/pytest-ads-testplan,
pytest-affected,,2023-11-06,,,,https://snyk.io/advisor/python/pytest-affected,https://pypi.org/project/pytest-affected,
pytest-agent,Service that exposes a REST API that can be used to interract remotely with Pytest. It is shipped with a dashboard that enables running tests in a more convenient way.,2021-11-25,,,,https://snyk.io/advisor/python/pytest-agent,https://pypi.org/project/pytest-agent,
pytest-aggreport,pytest plugin for pytest-repeat that generate aggregate report of the same test cases with additional statistics details.,2021-03-07,4 - Beta,pytest (>=6.2.2),,https://snyk.io/advisor/python/pytest-aggreport,https://pypi.org/project/pytest-aggreport,
pytest-ai1899,pytest plugin for connecting to ai1899 smart system stack,2024-03-13,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-ai1899,https://pypi.org/project/pytest-ai1899,https://www.libhunt.com/r/pytest-aggreport
pytest-aio,Pytest plugin for testing async python code,2024-04-08,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-aio,https://pypi.org/project/pytest-aio,https://www.libhunt.com/r/pytest-ai1899
pytest-aiofiles,pytest fixtures for writing aiofiles tests with pyfakefs,2017-05-14,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-aiofiles,https://pypi.org/project/pytest-aiofiles,
pytest-aiogram,,2023-05-06,,,,https://snyk.io/advisor/python/pytest-aiogram,https://pypi.org/project/pytest-aiogram,
pytest-aiohttp,Pytest plugin for aiohttp support,2023-09-06,4 - Beta,pytest >=6.1.0,,https://snyk.io/advisor/python/pytest-aiohttp,https://pypi.org/project/pytest-aiohttp,
pytest-aiohttp-client,Pytest `client` fixture for the Aiohttp,2023-01-10,,"pytest (>=7.2.0,<8.0.0)",,https://snyk.io/advisor/python/pytest-aiohttp-client,https://pypi.org/project/pytest-aiohttp-client,
pytest-aiomoto,pytest-aiomoto,2023-06-24,,"pytest (>=7.0,<8.0)",,https://snyk.io/advisor/python/pytest-aiomoto,https://pypi.org/project/pytest-aiomoto,
pytest-aioresponses,py.test integration for aioresponses,2021-07-29,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-aioresponses,https://pypi.org/project/pytest-aioresponses,
pytest-aioworkers,A plugin to test aioworkers project with pytest,2023-05-01,5 - Production/Stable,pytest>=6.1.0,,https://snyk.io/advisor/python/pytest-aioworkers,https://pypi.org/project/pytest-aioworkers,
pytest-airflow,pytest support for airflow.,2019-04-03,3 - Alpha,pytest (>=4.4.0),,https://snyk.io/advisor/python/pytest-airflow,https://pypi.org/project/pytest-airflow,
pytest-airflow-utils,,2021-11-15,,,,https://snyk.io/advisor/python/pytest-airflow-utils,https://pypi.org/project/pytest-airflow-utils,
pytest-alembic,A pytest plugin for verifying alembic migrations.,2024-03-04,,pytest (>=6.0),,https://snyk.io/advisor/python/pytest-alembic,https://pypi.org/project/pytest-alembic,https://www.libhunt.com/r/pytest-airflow-utils
pytest-allclose,Pytest fixture extending Numpy’s allclose function,2019-07-30,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-allclose,https://pypi.org/project/pytest-allclose,
pytest-allure-adaptor,Plugin for py.test to generate allure xml reports,2018-01-10,,pytest (>=2.7.3),,https://snyk.io/advisor/python/pytest-allure-adaptor,https://pypi.org/project/pytest-allure-adaptor,
pytest-allure-adaptor2,Plugin for py.test to generate allure xml reports,2020-10-14,,pytest (>=2.7.3),,https://snyk.io/advisor/python/pytest-allure-adaptor2,https://pypi.org/project/pytest-allure-adaptor2,
pytest-allure-collection,pytest plugin to collect allure markers without running any tests,2023-04-13,,pytest,,https://snyk.io/advisor/python/pytest-allure-collection,https://pypi.org/project/pytest-allure-collection,
pytest-allure-dsl,pytest plugin to test case doc string dls instructions,2020-10-25,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-allure-dsl,https://pypi.org/project/pytest-allure-dsl,
pytest-allure-id2history,"Overwrite allure history id with testcase full name and testcase id if testcase has id, exclude parameters.",2024-05-14,4 - Beta,pytest>=6.2.0,,https://snyk.io/advisor/python/pytest-allure-id2history,https://pypi.org/project/pytest-allure-id2history,https://www.libhunt.com/r/pytest-allure-dsl
pytest-allure-intersection,,2022-10-27,,pytest (<5),,https://snyk.io/advisor/python/pytest-allure-intersection,https://pypi.org/project/pytest-allure-intersection,
